Edges,spearman,pearson,mldm,magma,sparcc,spieceasi
Enterobacteriaceae-Legionella-neg,0.0095,0.0,0.0,0.0,0.0,0.0
Enterobacteriaceae-Yersiniaceae-neg,0.1886,0.1178,0.0,0.0,0.0387,0.0
Enterobacteriaceae-Cronobacter-pos,0.0548,0.0,0.0,0.0,0.0016,0.0
Enterobacteriaceae-Cronobacter-neg,0.0,0.0607,0.0,0.0,0.0,0.0
Enterobacteriaceae-Lactococcus-pos,0.1521,0.154,0.0,0.0,0.1335,0.0
Enterobacteriaceae-Morganella-pos,0.1268,0.1348,0.0,0.0,0.0346,0.0
Enterobacteriaceae-Fusobacterium-pos,0.1268,0.1496,0.0,0.0,0.1851,0.0
Enterobacteriaceae-Kurthia-pos,0.1399,0.1249,0.0,0.0,0.0042,0.0
Enterobacteriaceae-Staphylococcaceae-pos,0.084,0.0,0.0,0.0,0.0522,0.0
Enterobacteriaceae-Staphylococcaceae-neg,0.0,0.0599,0.0,0.0,0.0,0.0
Enterobacteriaceae-Methylobacterium-pos,0.2118,0.2109,0.0,0.0,0.1883,0.0
Enterobacteriaceae-Veillonella-neg,0.2366,0.199,0.129886639168761,0.0,0.0284,0.0
Enterobacteriaceae-Acinetobacter-pos,0.1399,0.1249,0.0,0.0,0.135,0.0
Enterobacteriaceae-Aeromonas-pos,0.0426,0.0,0.0,0.0,0.0789,0.0
Enterobacteriaceae-Aeromonas-neg,0.0,0.0691,0.0,0.0,0.0,0.0
Enterobacteriaceae-Bacillaceae-pos,0.0669,0.0,0.0,0.0,0.0316,0.0
Enterobacteriaceae-Bacillaceae-neg,0.0,0.0549,0.0,0.0,0.0,0.0
Enterobacteriaceae-Clostridiaceae-pos,0.0591,0.0,0.0,0.0,0.1007,0.0
Enterobacteriaceae-Clostridiaceae-neg,0.0,0.0088,0.0,0.0,0.0,0.0
Enterobacteriaceae-Peptoniphilus-pos,0.0941,0.0,0.0,0.0,0.0682,0.0
Enterobacteriaceae-Peptoniphilus-neg,0.0,0.0979,0.0,0.0,0.0,0.0
Enterobacteriaceae-Dietzia-pos,0.1268,0.1943,0.0,0.0,0.0345,0.0
Enterobacteriaceae-Erysipelothrix-pos,0.0,0.0,0.0,0.0,0.02,0.0
Enterobacteriaceae-Erysipelothrix-neg,0.1402,0.0928,0.18277710312246398,0.0,0.0,0.0
Enterobacteriaceae-Sporomusaceae-pos,0.0309,0.0,0.0,0.0,0.039,0.0
Enterobacteriaceae-Sporomusaceae-neg,0.0,0.0204,0.0,0.0,0.0,0.0
Enterobacteriaceae-Desulfuromonadaceae-pos,0.0,0.0,0.0,0.0,0.0183,0.0
Enterobacteriaceae-Desulfuromonadaceae-neg,0.1467,0.1894,0.0,0.0,0.0,0.0
Enterobacteriaceae-Anaerococcus-pos,0.0,0.0,0.0,0.0,0.0182,0.0
Enterobacteriaceae-Anaerococcus-neg,0.1261,0.1707,0.344826837357716,0.0,0.0,0.0
Enterobacteriaceae-Arcanobacterium-pos,0.0,0.0,0.0,0.0,0.028,0.0
Enterobacteriaceae-Arcanobacterium-neg,0.1363,0.1465,0.0,0.0,0.0,0.0
Enterobacteriaceae-Porphyromonas-pos,0.0,0.0,0.0,0.0,0.0128,0.0
Enterobacteriaceae-Porphyromonas-neg,0.0612,0.1991,0.0,0.0,0.0,0.0
Enterobacteriaceae-Brevibacillus-pos,0.0,0.0,0.0,0.0,0.14,0.0
Enterobacteriaceae-Brevibacillus-neg,0.0008,0.1549,0.0,0.0,0.0,0.0
Enterobacteriaceae-Selenomonas-neg,0.1886,0.1178,0.0,0.0,0.0739,0.0
Enterobacteriaceae-Campylobacter-pos,0.0,0.0,0.0,0.0,0.0739,0.0
Enterobacteriaceae-Campylobacter-neg,0.0426,0.1152,0.0,0.0,0.0,0.0
Enterobacteriaceae-Eggerthellaceae-pos,0.2292,0.3007,0.0,0.0,0.1502,0.0
Enterobacteriaceae-Ruminiclostridium-neg,0.0669,0.1165,0.0,0.0,0.0413,0.0
Enterobacteriaceae-Rhizobium-pos,0.2373,0.2496,0.0,0.0,0.0977,0.0
Enterobacteriaceae-Anaerobranca-neg,0.0827,0.0562,0.0,0.0,0.0353,0.0
Enterobacteriaceae-Domibacillus-pos,0.0,0.0,0.0,0.0,0.0235,0.0
Enterobacteriaceae-Domibacillus-neg,0.1886,0.1178,0.0,0.0,0.0,0.0
Enterobacteriaceae-Actinomyces-pos,0.0,0.0,0.0,0.0,0.0674,0.0
Enterobacteriaceae-Actinomyces-neg,0.0348,0.1624,0.0,0.0,0.0,0.0
Enterobacteriaceae-Paenibacillus-pos,0.2616,0.3881,0.0,0.0,0.0947,0.0
Enterobacteriaceae-Stenotrophomonas-pos,0.0,0.0,0.0,0.0,0.0989,0.0
Enterobacteriaceae-Stenotrophomonas-neg,0.0669,0.1165,0.0,0.0,0.0,0.0
Enterobacteriaceae-Eggerthella-pos,0.0,0.0,0.0,0.0,0.1178,0.0
Enterobacteriaceae-Eggerthella-neg,0.1886,0.1178,0.0,0.0,0.0,0.0
Enterobacteriaceae-Acetobacter-pos,0.0,0.0,0.0,0.0,0.0285,0.0
Enterobacteriaceae-Acetobacter-neg,0.1886,0.1178,0.0,0.0,0.0,0.0
Enterobacteriaceae-Acetobacterium-pos,0.0,0.0,0.0,0.0,0.0936,0.0
Enterobacteriaceae-Acetobacterium-neg,0.1886,0.1178,0.0,0.0,0.0,0.0
Enterobacteriaceae-Flavobacterium-pos,0.0,0.0,0.0,0.0,0.0379,0.0
Enterobacteriaceae-Flavobacterium-neg,0.0669,0.1165,0.0,0.0,0.0,0.0
Enterobacteriaceae-Actinobacteria-pos,0.0,0.0,0.0,0.0,0.0344,0.0
Enterobacteriaceae-Actinobacteria-neg,0.0669,0.1165,0.0,0.0,0.0,0.0
Enterobacteriaceae-Pedobacter-pos,0.2373,0.2496,0.0,0.0,0.0777,0.0
Enterobacteriaceae-Micrococcus-pos,0.2373,0.2496,0.0,0.0,0.0601,0.0
Enterobacteriaceae-Brevundimonas-pos,0.0426,0.0,0.0,0.0,0.172,0.0
Enterobacteriaceae-Brevundimonas-neg,0.0,0.0691,0.0,0.0,0.0,0.0
Enterobacteriaceae-Slackia-pos,0.0,0.0,0.0,0.0,0.0051,0.0
Enterobacteriaceae-Slackia-neg,0.1886,0.1178,0.0,0.0,0.0,0.0
Enterobacteriaceae-Gammaproteobacteria-pos,0.0,0.0,0.0,0.0,0.0079,0.0
Enterobacteriaceae-Gammaproteobacteria-neg,0.1886,0.1178,0.0,0.0,0.0,0.0
Enterobacteriaceae-Rhodobacteraceae-neg,0.1886,0.1178,0.0,0.0,0.0352,0.0
Enterobacteriaceae-Propionibacteriaceae-pos,0.2373,0.2496,0.0,0.0,0.1005,0.0
Enterobacteriaceae-Oscillatoriaceae-pos,0.0,0.0,0.0,0.0,0.1801,0.0
Enterobacteriaceae-Oscillatoriaceae-neg,0.1886,0.1178,0.0,0.0,0.0,0.0
Enterobacteriaceae-Flavobacteriaceae-pos,0.1399,0.1249,0.0,0.0,0.0364,0.0
Bacteroides-Ruminococcaceae-pos,0.3957,0.2173,0.261017029728697,0.0,0.2568,0.0
Bacteroides-Roseburia-pos,0.4096,0.2017,0.0,0.0,0.444,0.0
Bacteroides-Klebsiella-neg,0.1312,0.1447,0.0,0.0,0.2926,0.0
Bacteroides-Ruminococcus-neg,0.026,0.1193,0.277149774702808,0.0,0.1278,0.0
Bacteroides-Parabacteroides-pos,0.4531,0.4433,0.0,0.0,0.5027,0.0
Bacteroides-Citrobacter-pos,0.1568,0.1681,9.69180198289821e-05,0.0,0.149,0.0
Bacteroides-Alistipes-pos,0.5621,0.5692,0.316949682169117,0.0,0.585,0.10452014350752499
Bacteroides-Verrucomicrobiaceae-pos,0.2819,0.2706,0.0,0.0,0.1799,0.0
Bacteroides-Bacillus-pos,0.0,0.2572,0.0,0.0,0.0,0.0
Bacteroides-Bacillus-neg,0.1304,0.0,0.0,0.0,0.1442,0.0
Bacteroides-Peptostreptococcaceae-pos,0.0071,0.0,0.0,0.0,0.0,0.0
Bacteroides-Peptostreptococcaceae-neg,0.0,0.0739,0.0,0.0545218585420709,0.2395,0.0
Bacteroides-Alicyclobacillus-pos,0.0424,0.0,0.0,0.0,0.0,0.0
Bacteroides-Alicyclobacillus-neg,0.0,0.0823,0.0,0.0,0.0175,0.0
Bacteroides-Lachnospiraceae-pos,0.2635,0.0673,0.0475759763710587,0.0,0.3171,0.0
Bacteroides-Dialister-pos,0.4019,0.2981,0.0,0.0,0.3774,0.0
Bacteroides-Blautia-pos,0.0999,0.0,0.0,0.0,0.1009,0.0
Bacteroides-Blautia-neg,0.0,0.1262,0.0,0.0,0.0,0.0
Bacteroides-Bifidobacterium-pos,0.2583,0.1793,0.0109410114290278,0.0,0.1574,0.0
Bacteroides-Clostridium-pos,0.0455,0.0897,0.0859857031423601,0.0,0.0331,0.0
Bacteroides-Prevotella-pos,0.0274,0.1152,0.0,0.0,0.0,0.0
Bacteroides-Prevotella-neg,0.0,0.0,0.0212740834144786,0.0,0.0033,0.0
Bacteroides-Acidaminococcaceae-pos,0.1906,0.3477,0.0996621790205092,0.0,0.1739,0.0
Bacteroides-Methanobrevibacter-neg,0.476,0.2541,0.00702815510900723,0.0692052690557535,0.4106,0.0
Bacteroides-Erysipelatoclostridium-pos,0.3448,0.2184,0.0414426807137648,0.0,0.3871,0.0
Bacteroides-Spiroplasma-pos,0.0,0.183,0.0,0.0,0.0,0.0
Bacteroides-Spiroplasma-neg,0.026,0.0,0.0,0.0,0.0603,0.0
Bacteroides-Bacteroidales-pos,0.1135,0.3832,0.0,0.0,0.1143,0.0
Bacteroides-Bacteroidales-neg,0.0,0.0,0.0225907071808477,0.0,0.0,0.0
Bacteroides-Bacillales-pos,0.0,0.0464,0.0,0.0,0.0,0.0
Bacteroides-Bacillales-neg,0.2699,0.0,0.0,0.0,0.2562,0.0
Bacteroides-Lysinibacillus-neg,0.1167,0.1785,0.0,0.0,0.1101,0.0
Bacteroides-Clostridiales-pos,0.1719,0.0,0.0,0.0,0.0954,0.0
Bacteroides-Clostridiales-neg,0.0,0.0479,0.0308001157951028,0.0,0.0,0.0
Bacteroides-Anaerostipes-pos,0.2694,0.2672,0.11289849646151401,0.0,0.25,0.0
Bacteroides-Alphaproteobacteria-pos,0.3681,0.1639,0.11672103277588401,0.0,0.2066,0.0
Bacteroides-Hungateiclostridiaceae-pos,0.077,0.0,0.0,0.0,0.0508,0.0
Bacteroides-Hungateiclostridiaceae-neg,0.0,0.1664,0.0,0.0,0.0,0.0
Bacteroides-Providencia-neg,0.0564,0.1021,0.0,0.0,0.0218,0.0
Bacteroides-Pseudomonas-pos,0.0837,0.0121,0.0611430113323627,0.0,0.1121,0.0
Bacteroides-Staphylococcus-pos,0.1336,0.1433,0.0,0.0,0.0388,0.0
Bacteroides-Haemophilus-pos,0.2683,0.1103,0.0,0.0,0.1722,0.0
Bacteroides-Streptococcus-pos,0.1688,0.0178,0.0,0.0,0.0718,0.0
Bacteroides-Lactobacillus-pos,0.1663,0.0402,0.0210612930906266,0.0,0.0,0.0
Bacteroides-Lactobacillus-neg,0.0,0.0,0.0,0.0,0.0089,0.0
Bacteroides-Sphingomonas-pos,0.2416,0.2443,0.00504296066846457,0.0,0.0698,0.0
Bacteroides-Desulfovibrio-pos,0.3089,0.3402,0.0,0.0,0.178,0.0
Bacteroides-Lachnoclostridium-pos,0.2546,0.0175,0.0,0.0,0.173,0.0
Bacteroides-Odoribacter-pos,0.5232,0.5572,0.00511104514185969,0.0,0.2315,0.0
Bacteroides-Enterobacterales-pos,0.1042,0.0,0.0,0.0,0.0,0.0
Bacteroides-Enterobacterales-neg,0.0,0.0073,0.0,0.0,0.0559,0.0
Bacteroides-Enterococcus-pos,0.1464,0.1142,0.0,0.0,0.079,0.0
Bacteroides-Firmicutes-pos,0.1302,0.0274,0.0,0.0,0.101,0.0
Bacteroides-Erysipelotrichaceae-pos,0.1976,0.2375,0.0,0.0,0.1861,0.0
Bacteroides-Unassigned-neg,0.018,0.0469,0.0,0.0,0.0125,0.0
Bacteroides-Coriobacteriia-neg,0.1823,0.2459,0.0,0.0,0.1503,0.0
Bacteroides-Faecalicatena-pos,0.184,0.2717,0.0,0.0,0.087,0.0
Bacteroides-Desulfosporosinus-pos,0.002,0.0,0.0,0.0,0.0,0.0
Bacteroides-Desulfosporosinus-neg,0.0,0.1436,0.0,0.0,0.1027,0.0
Bacteroides-Burkholderiales-pos,0.1478,0.0403,0.0,0.0,0.1063,0.0
Bacteroides-Bacteroidia-pos,0.1594,0.2324,0.0,0.0,0.0926,0.0
Bacteroides-Collinsella-neg,0.0008,0.1428,0.0,0.0,0.1609,0.0
Bacteroides-Corynebacterium-pos,0.1992,0.2402,0.0,0.0,0.0571,0.0
Bacteroides-Clostridiales Family XIII. Incertae Sedis-neg,0.1873,0.1737,0.0,0.0,0.2061,0.0
Bacteroides-Bacteria-neg,0.2398,0.1749,0.0,0.0,0.1742,0.0
Bacteroides-Moorella-neg,0.0918,0.0226,0.0,0.0,0.1303,0.0
Bacteroides-Brucella-neg,0.0095,0.1082,0.0,0.0,0.082,0.0
Bacteroides-Dysgonomonas-pos,0.1459,0.1197,0.0,0.0,0.0497,0.0
Bacteroides-Porphyromonadaceae-pos,0.3526,0.4942,0.0,0.0,0.0577,0.0
Bacteroides-Planococcaceae-neg,0.2342,0.1797,0.0,0.0,0.2002,0.0
Bacteroides-Oceanobacillus-neg,0.1673,0.1413,0.0,0.0,0.2111,0.0
Bacteroides-Legionella-neg,0.185,0.1635,0.0,0.0,0.1467,0.0
Bacteroides-Yersiniaceae-pos,0.2582,0.3772,0.0,0.0,0.0525,0.0
Bacteroides-Cronobacter-neg,0.2222,0.179,0.0,0.0,0.1641,0.0
Bacteroides-Lactococcus-neg,0.1021,0.09,0.0,0.0,0.0047,0.0
Bacteroides-Morganella-pos,0.1536,0.0429,0.0,0.0,0.0,0.0
Bacteroides-Morganella-neg,0.0,0.0,0.0,0.0,0.0014,0.0
Bacteroides-Fusobacterium-pos,0.1536,0.0406,0.0,0.0,0.0,0.0
Bacteroides-Fusobacterium-neg,0.0,0.0,0.0,0.0,0.0726,0.0
Bacteroides-Kurthia-pos,0.1261,0.0377,0.0,0.0,0.0535,0.0
Bacteroides-Staphylococcaceae-neg,0.2731,0.2232,0.0,0.0,0.1546,0.0
Bacteroides-Methylobacterium-neg,0.0982,0.0545,0.0,0.0,0.0518,0.0
Bacteroides-Veillonella-pos,0.0687,0.1284,0.0,0.0,0.0735,0.0
Bacteroides-Acinetobacter-pos,0.1261,0.0377,0.0,0.0,0.0,0.0
Bacteroides-Acinetobacter-neg,0.0,0.0,0.0,0.0,0.0277,0.0
Bacteroides-Aeromonas-pos,0.0,0.0,0.0,0.0,0.0011,0.0
Bacteroides-Aeromonas-neg,0.054,0.0715,0.0,0.0,0.0,0.0
Bacteroides-Bacillaceae-pos,0.018,0.0,0.0,0.0,0.0587,0.0
Bacteroides-Bacillaceae-neg,0.0,0.0284,0.0,0.0,0.0,0.0
Bacteroides-Clostridiaceae-pos,0.0,0.0,0.0,0.0,0.0001,0.0
Bacteroides-Clostridiaceae-neg,0.0037,0.0678,0.0,0.0,0.0,0.0
Bacteroides-Peptoniphilus-neg,0.0397,0.1416,0.0,0.0,0.0478,0.0
Bacteroides-Dietzia-pos,0.1536,0.0316,0.0,0.0,0.0,0.0
Bacteroides-Dietzia-neg,0.0,0.0,0.0,0.0,0.0318,0.0
Bacteroides-Erysipelothrix-pos,0.1661,0.029,0.0,0.0,0.0,0.0
Bacteroides-Erysipelothrix-neg,0.0,0.0,0.0,0.0,0.0707,0.0
Bacteroides-Sporomusaceae-neg,0.2408,0.2035,0.0,0.0,0.2308,0.0
Bacteroides-Desulfuromonadaceae-pos,0.0184,0.0124,0.0,0.0,0.0,0.0
Bacteroides-Desulfuromonadaceae-neg,0.0,0.0,0.0,0.0,0.1421,0.0
Bacteroides-Anaerococcus-pos,0.0142,0.0,0.0,0.0,0.0,0.0
Bacteroides-Anaerococcus-neg,0.0,0.1045,0.0,0.0,0.1357,0.0
Bacteroides-Arcanobacterium-pos,0.1823,0.2058,0.0,0.0,0.0,0.0
Bacteroides-Arcanobacterium-neg,0.0,0.0,0.0,0.0,0.0268,0.0
Bacteroides-Porphyromonas-neg,0.0906,0.0634,0.0,0.0,0.1387,0.0
Bacteroides-Brevibacillus-pos,0.0042,0.0,0.0,0.0,0.0,0.0
Bacteroides-Brevibacillus-neg,0.0,0.0647,0.0,0.0,0.1317,0.0
Bacteroides-Selenomonas-neg,0.1261,0.1037,0.0,0.0,0.0641,0.0
Bacteroides-Campylobacter-pos,0.03,0.0,0.0,0.0,0.0199,0.0
Bacteroides-Campylobacter-neg,0.0,0.0198,0.0,0.0,0.0,0.0
Bacteroides-Eggerthellaceae-pos,0.0873,0.0116,0.0,0.0,0.0,0.0
Bacteroides-Eggerthellaceae-neg,0.0,0.0,0.0,0.0,0.0327,0.0
Bacteroides-Ruminiclostridium-pos,0.1381,0.0538,0.0,0.0,0.0636,0.0
Bacteroides-Rhizobium-pos,0.0781,0.0134,0.0,0.0,0.0,0.0
Bacteroides-Rhizobium-neg,0.0,0.0,0.0,0.0,0.0605,0.0
Bacteroides-Anaerobranca-pos,0.1427,0.2757,0.0,0.0,0.0875,0.0
Bacteroides-Domibacillus-pos,0.2342,0.319,0.0,0.0,0.0,0.0
Bacteroides-Domibacillus-neg,0.0,0.0,0.0,0.0,0.0273,0.0
Bacteroides-Actinomyces-neg,0.1804,0.1665,0.0,0.0,0.1439,0.0
Bacteroides-Paenibacillus-neg,0.2582,0.1834,0.0,0.0,0.1666,0.0
Bacteroides-Stenotrophomonas-pos,0.1381,0.0538,0.0,0.0,0.0,0.0
Bacteroides-Stenotrophomonas-neg,0.0,0.0,0.0,0.0,0.0676,0.0
Bacteroides-Eggerthella-pos,0.0661,0.0124,0.0,0.0,0.0,0.0
Bacteroides-Eggerthella-neg,0.0,0.0,0.0,0.0,0.1254,0.0
Bacteroides-Acetobacter-neg,0.1501,0.1297,0.0,0.0,0.1302,0.0
Bacteroides-Acetobacterium-neg,0.0901,0.0883,0.0,0.0,0.107,0.0
Bacteroides-Flavobacterium-pos,0.1381,0.0538,0.0,0.0,0.0,0.0
Bacteroides-Flavobacterium-neg,0.0,0.0,0.0,0.0,0.071,0.0
Bacteroides-Actinobacteria-pos,0.1381,0.0538,0.0,0.0,0.001,0.0
Bacteroides-Pedobacter-pos,0.0781,0.0134,0.0,0.0,0.0,0.0
Bacteroides-Pedobacter-neg,0.0,0.0,0.0,0.0,0.103,0.0
Bacteroides-Micrococcus-pos,0.0781,0.0134,0.0,0.0,0.0,0.0
Bacteroides-Micrococcus-neg,0.0,0.0,0.0,0.0,0.0471,0.0
Bacteroides-Brevundimonas-neg,0.054,0.0715,0.0,0.0,0.0835,0.0
Bacteroides-Slackia-pos,0.1141,0.0353,0.0,0.0,0.0,0.0
Bacteroides-Slackia-neg,0.0,0.0,0.0,0.0,0.0364,0.0
Bacteroides-Gammaproteobacteria-neg,0.1501,0.1297,0.0,0.0,0.0245,0.0
Bacteroides-Rhodobacteraceae-neg,0.1501,0.1297,0.0,0.0,0.104,0.0
Bacteroides-Propionibacteriaceae-pos,0.0781,0.0134,0.0,0.0,0.0,0.0
Bacteroides-Propionibacteriaceae-neg,0.0,0.0,0.0,0.0,0.0039,0.0
Bacteroides-Oscillatoriaceae-pos,0.2222,0.3125,0.0,0.0,0.0,0.0
Bacteroides-Oscillatoriaceae-neg,0.0,0.0,0.0,0.0,0.1065,0.0
Bacteroides-Flavobacteriaceae-pos,0.1261,0.0377,0.0,0.0,0.1223,0.0
Ruminococcaceae-Roseburia-pos,0.5612,0.3996,0.0,0.0,0.5507,0.0
