OTU,Class,Family,Genus,Kingdom,Order,Phylum,Species,Abundance,empty
25,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonadales,Proteobacteria,unknown,397.0,
26,Deltaproteobacteria,Geobacteraceae,Geobacter,Bacteria,Desulfuromonadales,Proteobacteria,unknown,394.0,
27,Gammaproteobacteria,unknown,unknown,Bacteria,unknown,Proteobacteria,unknown,385.0,
28,Gammaproteobacteria,unknown,unknown,Bacteria,unknown,Proteobacteria,unknown,385.0,
29,Verrucomicrobiae,Verrucomicrobiaceae,unknown,Bacteria,Verrucomicrobiales,Verrucomicrobia,unknown,376.0,
30,Gammaproteobacteria,unknown,unknown,Bacteria,unknown,Proteobacteria,unknown,358.0,
31,Deltaproteobacteria,Geobacteraceae,Geobacter,Bacteria,Desulfuromonadales,Proteobacteria,unknown,355.0,
32,Gammaproteobacteria,Rhodanobacteraceae,unknown,Bacteria,Xanthomonadales,Proteobacteria,unknown,353.0,
33,Verrucomicrobiae,Verrucomicrobiaceae,unknown,Bacteria,Verrucomicrobiales,Verrucomicrobia,unknown,349.0,
34,Alphaproteobacteria,Hyphomicrobiaceae,unknown,Bacteria,Rhizobiales,Proteobacteria,unknown,333.0,
35,Deltaproteobacteria,Geobacteraceae,Geobacter,Bacteria,Desulfuromonadales,Proteobacteria,unknown,325.0,
36,Betaproteobacteria,Comamonadaceae,unknown,Bacteria,Burkholderiales,Proteobacteria,unknown,322.0,
37,Gammaproteobacteria,unknown,unknown,Bacteria,unknown,Proteobacteria,unknown,321.0,
38,Deltaproteobacteria,Geobacteraceae,Geobacter,Bacteria,Desulfuromonadales,Proteobacteria,unknown,320.0,
39,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonadales,Proteobacteria,unknown,316.0,
40,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonadales,Proteobacteria,unknown,315.0,
41,Opitutae,Opitutaceae,unknown,Bacteria,Opitutales,Verrucomicrobia,unknown,310.0,
42,unknown,unknown,unknown,Bacteria,unknown,unknown,unknown,307.0,
43,Betaproteobacteria,Comamonadaceae,unknown,Bacteria,Burkholderiales,Proteobacteria,unknown,289.0,
44,Opitutae,Opitutaceae,unknown,Bacteria,Opitutales,Verrucomicrobia,unknown,286.0,
45,Deltaproteobacteria,Geobacteraceae,Geobacter,Bacteria,Desulfuromonadales,Proteobacteria,unknown,281.0,
46,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonadales,Proteobacteria,unknown,275.0,
47,Betaproteobacteria,unknown,unknown,Bacteria,Burkholderiales,Proteobacteria,unknown,274.0,
48,Planctomycetia,Gemmataceae,unknown,Bacteria,Planctomycetales,Planctomycetes,unknown,273.0,
49,Gammaproteobacteria,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonadales,Proteobacteria,unknown,271.0,
50,Verrucomicrobiae,Verrucomicrobiaceae,Prosthecobacter,Bacteria,Verrucomicrobiales,Verrucomicrobia,unknown,266.0,
